PID CMD
2026 /usr/bin/gnome-shell
2144 /usr/bin/ibus-daemon
2558 /usr/bin/nautilus
3154 /usr/bin/pipewire
1801 /usr/bin/pipewire-pulse
1188 /usr/bin/python3
3750 /usr/bin/snap
2908 /usr/bin/update-notifier
3155 /usr/bin/wireplumber
2762 /usr/bin/Xwayland
1200 /usr/lib/cups/notifier/dbus
759 /usr/libexec/accounts-daemon
2102 /usr/libexec/at-spi2-registryd
2030 /usr/libexec/at-spi-bus-launcher
1384 /usr/libexec/colord
2542 /usr/libexec/dconf-service
2496 /usr/libexec/evolution-addressbook-factory
2459 /usr/libexec/evolution-calendar-factory
2190 /usr/libexec/evolution-data-server/evolution-alarm-notify
2137 /usr/libexec/evolution-source-registry
3053 /usr/libexec/fwupd/fwupd
1948 /usr/libexec/gcr-ssh-agent
1871 /usr/libexec/gdm-wayland-session
705 /usr/libexec/gnome-remote-desktop-daemon
1881 /usr/libexec/gnome-session-binary
1986 /usr/libexec/gnome-session-binary
1952 /usr/libexec/gnome-session-ctl
2116 /usr/libexec/gnome-shell-calendar-server
3283 /usr/libexec/gnome-terminal-server
2419 /usr/libexec/goa-daemon
2447 /usr/libexec/goa-identity-service
2147 /usr/libexec/gsd-a11y-settings
2149 /usr/libexec/gsd-color
2154 /usr/libexec/gsd-datetime
2212 /usr/libexec/gsd-disk-utility-notify
2160 /usr/libexec/gsd-housekeeping
2165 /usr/libexec/gsd-keyboard
2169 /usr/libexec/gsd-media-keys
2172 /usr/libexec/gsd-power
2355 /usr/libexec/gsd-printer
2175 /usr/libexec/gsd-print-notifications
2180 /usr/libexec/gsd-rfkill
2185 /usr/libexec/gsd-screensaver-proxy
2189 /usr/libexec/gsd-sharing
2191 /usr/libexec/gsd-smartcard
2193 /usr/libexec/gsd-sound
2203 /usr/libexec/gsd-wacom
2766 /usr/libexec/gsd-xsettings
2412 /usr/libexec/gvfs-afc-volume-monitor
1968 /usr/libexec/gvfsd
1983 /usr/libexec/gvfsd-fuse
2699 /usr/libexec/gvfsd-metadata
2830 /usr/libexec/gvfsd-recent
2559 /usr/libexec/gvfsd-trash
2458 /usr/libexec/gvfs-goa-volume-monitor
2433 /usr/libexec/gvfs-gphoto2-volume-monitor
2470 /usr/libexec/gvfs-mtp-volume-monitor
2336 /usr/libexec/gvfs-udisks2-volume-monitor
2521 /usr/libexec/ibus-engine-simple
2300 /usr/libexec/ibus-extension-gtk3
2299 /usr/libexec/ibus-memconf
2316 /usr/libexec/ibus-portal
2787 /usr/libexec/ibus-x11
2792 /usr/libexec/mutter-x11-frames
731 /usr/libexec/power-profiles-daemon
1269 /usr/libexec/rtkit-daemon
767 /usr/libexec/switcheroo-control
2622 /usr/libexec/tracker-miner-fs-3
778 /usr/libexec/udisks2/udisksd
1432 /usr/libexec/upowerd
2680 /usr/libexec/xdg-desktop-portal
2689 /usr/libexec/xdg-desktop-portal-gnome
2705 /usr/libexec/xdg-desktop-portal-gtk
1825 /usr/libexec/xdg-document-portal
1844 /usr/libexec/xdg-permission-store
729 /usr/lib/polkit-1/polkitd
736 /usr/lib/snapd/snapd
309 /usr/lib/systemd/systemd-journald
742 /usr/lib/systemd/systemd-logind
420 /usr/lib/systemd/systemd-oomd
423 /usr/lib/systemd/systemd-resolved
424 /usr/lib/systemd/systemd-timesyncd
374 /usr/lib/systemd/systemd-udevd
1775 /usr/lib/systemd/systemd
766 /usr/sbin/cron
1205 /usr/sbin/cups-browsed
1183 /usr/sbin/cupsd
1209 /usr/sbin/gdm3
1213 /usr/sbin/kerneloops
1206 /usr/sbin/kerneloops
892 /usr/sbin/ModemManager
803 /usr/sbin/NetworkManager
783 /usr/sbin/rsyslogd
809 /usr/sbin/wpa_supplicant
87 [watchdogd]
